,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"beta_station[Guanyuan, PRES_z]",-0.12213519543845988,0.6367681215188535,-0.8704864935187259,0.5111685208227148,2.553381792893319,16.39723149473978,2.231984933646143,0.447165699073383,0.04657138598771637
"beta_station[Guanyuan, DEWP_z]",1.8282751852475103,1.6543370021994461,0.17809408775080582,3.6766428152278534,2.5548772497863594,2.0107238605898123,2.232663432548464,1.1645252976692364,0.08258358433059941
"beta_station[Guanyuan, WSPM_z]",-1.3464398083958695,0.09578888853827942,-1.4160519385024577,-1.1559239842418936,6.8773875516485,2.560720390592547,2.2323277753529154,0.04116937224754449,0.0438169175908981
"beta_station[Guanyuan, RAIN_z]",-0.46265941564342977,0.5874093051272754,-1.4159804355407273,0.08112403252155724,2.5465646315999497,16.099751408996177,2.231909555447387,0.38941283694873435,0.19037746692038163
"beta_station[Guanyuan, lag_logpm25_z]",1.6370584888038604,0.10477803529049869,1.5540930127716863,1.8246253415251812,3.0941279114007396,2.091328725412546,2.231781124949258,0.060910194872982555,0.047489800544180616
"beta_station[Guanyuan, sin_doy]",0.7146185361200685,0.8276608149653706,-0.10987183737406196,1.6615998087427073,2.5452375659610538,2.0107238605898123,2.2337577132026274,0.5820192204099358,0.051234968102411654
"beta_station[Guanyuan, cos_doy]",1.353858580200351,1.8495985703780162,-0.48894167145982526,3.4707570419404314,2.548081293026032,2.0107238605898123,2.2327061627955596,1.3008069924777066,0.11251461577689587
"beta_station[Gucheng, TEMP_z]",-1.1763895465432839,0.7792501966690445,-2.1558602044433193,-0.406697413861272,2.565786562368286,16.940414016856035,2.231872892255599,0.5441006431685674,0.08618210791020585
"beta_station[Gucheng, PRES_z]",-0.030726958146043443,0.748499381560279,-0.8941000159607002,0.7147824785417249,2.5374576783225757,18.336135793591584,2.231746225761778,0.5263078405911211,0.04756155841494637
"beta_station[Gucheng, DEWP_z]",1.8015714749660823,1.6928272071483557,0.11261039305697353,3.6906816509571443,2.551289678358564,2.0107238605898123,2.2337539233130372,1.1918557715156475,0.08078672344391913
"beta_station[Gucheng, WSPM_z]",-0.5632913846129874,0.7142697729879958,-1.3949397356068949,0.14688478652490544,2.5398825316554414,17.53293494414554,2.232124643556307,0.5015291514682262,0.05173660079733179
